news_id,category,subcategory,title,abstract
N17217,lifestyle,lifestylepets,Lost And Found Pets In Rhode Island: Week Of Nov. 13,Have you seen any of these lost or found pets in Rhode Island? Help us reunite them with their families!
N11587,finance,finance-career-education,Kaiser Permanente CEO Bernard Tyson Dies At 60,"Tyson, who died unexpectedly Sunday, had led the Oakland-based healthcare giant since 2013."
N46684,lifestyle,lifestylebuzz,Science says people decide these 12 things within seconds of meeting you,First impressions are powerful. Find out how people size you up in just seconds by looking at your face and body language   and even by smelling you.
N7843,sports,football_nfl,Former Giants safety Kamrin Moore cleared of domestic violence charges,Moore was arrested in mid-July on assault charges after a woman alleged that Moore knocked her unconscious and stepped on her neck.
N64606,entertainment,celebrity,Best celebrity hair moments of 2019 (so far),"New year, new 'do! Nothing has the power to transform a look quite like a new hairstyle, which might explain why celebrities are constantly switching things up with fresh cuts, colors and lengths. In 2019, we've already seen stars like Rowan Blanchard and John Travolta go shorter (or, in the Saturday Night Fever star's case, bald!), Lady Gaga and Chris Messina walk the red carpet with striking new shades and Hilary Duff and Sarah Hyland show how subtle color shifts can make a big impact. And, if 2018's tress transformations were any indication, there is going to be so much more where that came from. Keep scrolling to see the best celebrity haircuts, color, extensions and more of 2019 so far!"
N36183,health,health-news,Marijuana found in man's nose 18 years after he smuggled it into prison,"A package of marijuana has been retrieved from the nose of a man 18 years after he smuggled it into prison, in what doctors have described as the first case of its kind."
N2945,music,music-celebrity,Demi Lovato Just Proved She's the Queen of Halloween,"The ""Sorry Not Sorry"" singer debuted her first of many Halloween costumes on Instagram."
N2231,movies,movies-celebrity,Cuba Gooding Jr. pleads not guilty to new sexual misconduct charges,"Cuba Gooding Jr. was back in Manhattan Criminal Court on Thursday for his groping case. The actor pleaded not guilty to new misdemeanor charges of forcible touching and sexual abuse, according to Reuters. A smirking Cuba Gooding was smirking as he was lead into court in handcuffs for his arraignment in new sex assault charges. Page Six also reported that a detective refused to shake the star's hand as they passed each other outside the Manhattan..."
N27770,sports,football_ncaa,Gary Danielson: 'I don't care what Alabama says… he's not the Tua Tagovailoa that started the season',"After in-season surgery, what'd you expect, Gary?"
N20075,movies,movies-gallery,"The 47 best scary movies of all time, ranked by critics","From classics like ""Carrie"" and ""Rosemary's Baby"" to more contemporary titles like ""Hereditary,"" these films are guaranteed to keep you up at night."
N34727,sports,football_nfl,WATCH: Why Jets' Christopher Johnson will not fire Adam Gase,"Jets acting owner Christopher Johnson has announced that head coach Adam Gase will remain in place for the 2020 season. Johnson spoke with reporters for roughly 10 minutes during the team's practice on Wednesday afternoon. He began by promising that Gase would remain the head coach   not just for the rest of 2019, but for the 2020 season as well. Watch Johnson's comments in the video above. ..."
N6363,finance,finance-taxes,Saved by a Pro: How One Tax Mistake Almost Resulted in Fraud,Sometimes paying a professional is worth it.
N28955,video,news,The scandal facing Trump defender Jim Jordan,The GOP's point-person on Trump's impeachment is accused of ignoring complaints that a doctor was sexually assaulting students.
N926,health,wellness,What Menopause Does to Women's Brains,Two-thirds of Alzheimer's patients are women. My foggy 53-year-old brain could help explain why.
N2416,finance,financenews,"Callon amends merger terms, postpones shareholder vote to December","Houston oil producers Callon Petroleum Company and Carrizo Oil and Gas amended the terms of their merger agreement and postponed a shareholder vote until December, the companies announced Thursday. The pending merger was supposed to get put to a shareholder vote Thursday, but had faced investor opposition to approve the $1.2 billion all-stock deal. The vote was pushed back to Dec. 20. The merger would represent a combining of near-equals as the..."
N55581,foodanddrink,newstrends,WINE NOT? Gypsy brewers 'Nowhere In Particular' branch out in an ENTIRELY new direction,Release party at Toxic Brew Nov. 16 for NIP's 'Wandering Wines'
N41024,sports,baseball_mlb,Astros' Michael Brantley emotional after foul ball hits security guard,"Brantley was distraught about what happened and could be seen crying. Astros manager AJ Hinch came out to console the outfielder, who ended up reaching on a dropped third strike."
N58312,sports,baseball_mlb,Kevin Cash would have pulled Zack Greinke in time,"There's a time and a place for a quick hook, even with the best pitchers."
N17155,lifestyle,lifestylebuzz,2 the Rescue: Meet Vertical,"Meet Vertical, a friendly 2 year old boy who wants to be your new best friend and loyal companion. He came to us as a stray and is a sweet boy with a great personality and disposition. He is a great medium size, weighing only 40 lbs. Vertical is neutered, current on vaccinations and ready to begin his next adventure as your new buddy! Meet him at Burlington Animal Services, 221 Stone Quarry Rd., Burlington or call 336-578-0343 for more..."
N5917,tv,tv-celebrity,Vicki Gunvalson suing fellow 'Housewives' star Kelly Dodd,Vicki Gunvalson claims Kelly Dodd said three untrue statements that could affect her business.
N16352,finance,finance-career-education,"St. Xavier announces $51 million campaign to fund new scholarships, renovations","Leaders from St. X, an all-male Catholic high school, announced at Louisville Marriott Downtown they are 75% of the way to a $51 million goal."
N47896,autos,autosnews,Semi driver identified in fatal crash on I-70 in Clark County,The driver of a semitrailer was ejected and killed early Tuesday after he crashed into a medic unit on westbound Interstate 70 in Clark County.
N32938,travel,travelnews,"PortMiami is remaking the city's skyline for $1.5 billion, one cruise terminal at a time","The view along the drive down the MacArthur Causeway from downtown Miami to Miami Beach is getting a new, 21st century look. Last year, Royal Caribbean unveiled its new $266-million Terminal A. The sleek angular glass building, designed by Broadway Malyan, evokes a high-tech ship that glows with color by night. Nearby, Norwegian Cruise Line is building a curved terminal facing Palm ..."
N12356,video,news,Nancy Pelosi accuses Trump of bribery,"Heading into the next round of televised impeachment hearings, House Speaker Nancy Pelosi is now publicly accusing President Trump of bribery in Ukraine. The U.S. Constitution says a president can be impeached or removed specifically for that crime. Nancy Cordes reports."
N17136,health,medical,"'Completely Shocking': Thinking Too Much Can Cause You To Die Younger, Brain Study Finds",Want the key to a long and healthy life? A new study says   stop thinking so much.
N38082,health,medical,This Is Your Body On Vaping,Medical researchers are hustling to understand exactly what happens to the body when it's exposed to e-cigarettes and why people are getting so sick.
N60236,weather,weathertopstories,Melting Arctic ice may spread deadly virus in marine mammals,A disease responsible for several mass mortality events could be spreading due to climate change
N50605,finance,financenews,US economy adds 128K jobs in October,"The US economy added 128,000 jobs in October. The unemployment rate rose slightly to 3.6%. The US lost 36,000 manufacturing jobs last month, impacted primarily by the GM strike. Overall, the October report was stronger than expected, beating economists' far more dour forecasts."
N17378,health,medical,The Most Common Fall Allergens,Allergies cause an array of unpleasant and even potentially life-threatening symptoms.
N29682,weather,weathertopstories,'Sundowner' winds could fan flames in Southern California,"Strong northerly winds, known as 'sundowners,' will create an extended period of high fire danger over a large part of Southern California. The winds and the fire risk will continue through Sunday night and can be strongest in some cases during the evening and overnight hours. ""Dry, warm air accompanying the winds will add significantly to the fire threat by making brush more flammable,"" according to AccuWeather Meteorologist Courtney Travis...."
N51851,travel,travelnews,Unicorns don't show their horns to non-believers. Fountain Inn unicorn farm coming soon,"FOUNTAIN INN, SC (FOX Carolina) Do you believe in unicorns? If you said no, Kate Nichols wants to challenge your beliefs. The farm owner of Hidden Pasture Farm says she's opening a six-acre unicorn preserve in Fountain Inn come November to show all the world's ""neigh-sayers"" that the one-horned mystical creatures actually do exist. Nichols, a proud owner of several 'miniature unicorns,' wants to celebrate the world's fascination with the..."
N60588,music,musicnews,"Brad Paisley brings Hootie & the Blowfish, Carrie Underwood, Jonas Brothers to variety special in December","Brad Paisley spent 11 years co-hosting the CMA Awards with Carrie Underwood. This year, Paisley graduated to his own namesake television special on ABC."
N16446,finance,finance-companies,Twitter has no plans to go to China as CFO says focus is on markets where it is 'accessible',"In its third-quarter earnings last week, Twitter missed expectations, citing product issues and advertising challenges for the revenue shortfall."
N38357,entertainment,entertainment-celebrity,Elementary students celebrate beloved Gwinnett cafeteria worker's 95th birthday,"Martha Strickland is known simply to the kids as ""Granny"" and it's hard to find someone who's more loved at Shiloh Elementary School."
N2374,finance,finance-companies,Warren Buffett owns these 10 companies,The Oracle of Omaha has quite the collection of brand-name businesses in his portfolio.
N16234,lifestyle,lifestylefamilyandrelationships,40 Major Marriage Blunders No One Over 40 Should Make,Don't let these marriage mistakes tank your relationship.
N23030,weather,weathertopstories,"Denver metro area school and government office closures, Oct. 24, 2019","On days with severe weather, school closures and government office closures will be updated throughout the day."
N46966,foodanddrink,restaurantsandnews,This Solo Dining Trend Is Changing the Way People Eat,"Table for One is a column by Senior Editor Eric Kim, who loves cooking for himself and only himself and seeks to celebrate the beauty of solitude in its many forms. The stage has been set for a renaissance in solo dining. The South Koreans already have a word for it: honbap. A portmanteau of ""alone"" (honja) and ""food"" (bap), honbap is part of a larger loner trend that's overtaken Korea in the last two to three years, as more and more people are..."
N29924,autos,autosenthusiasts,25 Cars No One Wanted to Buy,"Along with cars so bad they become icons and the models that should have worked but never caught on come a slew of vehicles that'll have you scratching your head. Remind yourself of the disasters that were the Cadillac Catera, Buick Reatta, Volkswagen Phaeton, Lincoln Blackwood, Chrysler Executive Limousine, and more."
N62342,video,science,The mysterious case of NASA's missing $1.1 billion moon lander,"In the '60s, NASA commissioned Grumman Aircraft to build 15 lunar modules for its Apollo program. 10 of those lunar modules ended up in space, 3 in museums, 1 was scrapped and 1 is missing. After contacting NASA, the Smithsonian and a host of other sources we eventually track down a potential answer."
N49554,foodanddrink,tipsandtricks,How to Make Buttermilk At Home With Just 2 Ingredients,Whipping up a recipe that calls for some buttermilk? No need to run to the store! Here's how to make buttermilk at home in just 10 minutes.
N210,weather,weathertopstories,Cold snap breaks one record and could break two more before it's over,"PROVIDENCE -- Providence has already set a record for cold on this Wednesday and could set two more within 24 hours. With the temperature at 19 degrees shortly before 7 a.m., the temperature dropped below the previous record for the date, Nov. 13, which was 20 degrees set in 2001. If that isn't enough, a northwest wind of 9 mph, gusting up to 20 mph is making it feel like 8 degrees. Despite ..."
N40691,weather,weathertopstories,A deadly virus is spreading in marine mammals. Scientists say climate change is to blame.,The study adds to growing research that global warming is having some unexpected impacts on animal and human health.
N39918,movies,movievideo,Trailer - The Kingmaker,Trailer 1
N4184,foodanddrink,newstrends,New Ybor City restaurant Barterhouse will focus on sustainability,"TAMPA   Barterhouse, the modern American restaurant that grew from popup dinners around Tampa Bay and in Charleston, S.C., is close to opening on the west side of Ybor City. Originally dubbed the Bowery and in the works for a few years, Barterhouse has significantly transformed the about 3,600-square-foot space most recently home to World of Coffees & Tea at 1811 N 15th St. The restaurant ..."
N30219,finance,financenews,'I Was Enraged': More Sun Country Airlines Customers Stranded,"On the same day Sun Country's CEO hosted a media event to announce the company is hitting the reset button, more customers found themselves stranded by the airline."
N28850,health,health-news,Elton John Opens Up About Virus That 'Nearly Killed' Him After Prostate Cancer Surgery,"I had tubes coming out of every part of my body, and it took me seven weeks to recover."
N60239,video,science,Missing Link To Human Evolution Discovered: An Ape and Human All-In-One!,Researchers believe a new species of primate discovered in Germany could hold the key to explaining human evolution. Veuer's Lenneia Batiste has more.
N44977,foodanddrink,tipsandtricks,The $3 Trader Joe's Item that Fancies Up Literally Any Dish,"In the last few months, I've formed a somewhat obsessive relationship with a condiment."
N3982,tv,tvnews,WIP's Rob Ellis returns to TV to host new sports betting show on CBS3,"After more than a year, longtime Philly sports talker and broadcaster Rob Ellis is returning to television. Ellis, who hasn't appeared on TV since NBC Sports Philadelphia declined to renew his contract last year, will co-host a new sports betting show called Odds On on CBS3 alongside sports anchor Pat Gallen. The new show will air at 8:30 a.m. on Sundays, starting this weekend. Ellis, who ..."
N23094,lifestyle,lifestyledidyouknow,50 Facts So Genius You'll Feel Like Einstein,The famed physicist would want you to know these crazy facts!
N54770,foodanddrink,newstrends,Founders Brewing Bails on Detroit Fall Beer Fest Amid Criticism Over Racial Discrimination Lawsuit,The Detroit Beer Experiment still plans to serve recipes made in collaboration with Founders
N64790,weather,weathertopstories,"Lambs Bound Into Patch of Green Grass at Drought-Stricken Farm in Nundle, NSW","In what has been a rare sight in times of drought, a number of lambs were filmed happily jumping onto green grass at a property in Nundle, New South Wales, on October 26. Property owner Kerry Swain told Storyful the ewes and lambs had been moving to the small green patch of grass at 6am every morning for a feed. ""This is the only green section on our property as it is where the drain runs out to the paddock,"" she said. ""Every morning I hear the little lambs baaing and bleating away. They are very happy to be on the green grass. It's a nice sound in a time of drought."" Mrs Swain told Storyful her property, 'Oralla', had been in the family since 1852 and had never experienced issues with a lack of water until now. The Bureau of Meteorology has recorded rainfall deficiencies in New South Wales and southern Queensland over the past 17 months, with several areas experiencing their lowest-ever rainfalls. New South Wales is experiencing near-total drought conditions, while around two-thirds of Queensland is in drought. ""My son is a sixth-generation farmer. Our family has never seen it like this. We haven't had water in local creeks or on our property for 18 months,"" Swain said. ""But seeing and hearing these lambs each morning is a nice way to wake up."" Credit: Kerry Swain via Storyful"
N43741,lifestyle,lifestylebuzz,Family of 7 Needs a Normal Life,"Are you the 1 in a 1,000,000 That Can Make This Happen?"
N50949,weather,weathertopstories,Hottest-ever October recorded on Earth,"One of the hottest summers on record set the stage for one of the wildest autumns ever. Dozens of cities hit record highs in October, especially in the southeast, where it hit triple digits."
N44838,lifestyle,voices,"I Was an Only Child by Circumstance, My Son Is an Only Child by Choice","When my wife and I decided to make our first child our last, many asked us why. Here's what I tell them and what we learned when planning our (little) family."
N5899,travel,travelarticle,"Virginia Beach's top 5 breweries, ranked","Hoodline crunched the numbers to find the top breweries in Virginia Beach. Here's a rundown of top businesses in the city, with ratings, photos and more."
N9859,autos,autosmotorcycles,The 2020 Indian Challenger Is An Aggressively Modern Bagger,"Last week Indian debuted a new monster V-twin engine called PowerPlus, which is a 108 cubic inch motor with ""best in class"" 122 horsepower and 128 lb-ft of torque."
N40698,finance,finance-real-estate,Last call to save Jacksonville Fire Station 5,"The old Jacksonville firehouse on Riverside Avenue that sent so many firefighters on life-saving missions is facing a do-or-die situation of its own. The Downtown Investment Authority Board approved a resolution Wednesday that would allow 30 days for anyone interested in acquiring Fire Station No. 5 to make offers for it, provided they are willing to move it to another location and preserve it. If the city does not get a viable offer in that..."
N26542,foodanddrink,newstrends,Mac Attack! Find the best macaroni and cheese in Asheville,Try macaroni in all styles at the Asheville Mac Attack at the Salvage Station. Not going? We have you covered. Here's where else to eat.
N53011,entertainment,entertainment-books,Ronan Farrow Is Still Hunting for the Truth,"Shondaland spoke to the journalist and author about his new book, ""Catch and Kill"""
N33155,finance,financenews,Saved by the bell: Orange County school district won't change school start times -- for now,The Orange County School Board has elected to keep its current schedule after considering changing school start times next year.
N35002,lifestyle,lifestylebuzz,"Apartments for rent in Kansas City: What will $1,500 get you?","Curious just how far your dollar goes in Kansas City real estate? From budget apartments to luxury apartments, here's what you can get locally by price point, with photos and amenities."
N57034,finance,markets,Sour grapes: Trade war puts cork in US wine sales to China,"LIVERMORE, Calif. (AP)   Caught in the crossfire of President Donald Trump's trade war with China, U.S. vineyards are struggling to sell Syrah in Shanghai and Chardonnay in Shenzhen."
N12567,foodanddrink,restaurantsandnews,The best bowl of pasta in every state,"Let's be honest   who doesn't love a cracking bowl of pasta? From traditional lasagna and spaghetti in silky red sauces to inventive creations and new takes on the classics, America has plenty of exceptional pasta dishes. Here, we take a look at the best in every US state."
N5795,lifestyle,lifestylebuzz,N.J. man won a record $262K on 'The Price is Right' but couldn't tell anyone for months,"The hardest part of ""The Price is Right"" for Michael Strouber wasn't winning a record-breaking $262,743 dollars. It was keeping it a secret. The 29-year-old from Freehold appeared on the beloved CBS game show's Monday morning episode and set the record for highest daytime total -- dropping his disc into a special $200,000 slot on Plinko while also winning a trip to Fiji and a new car in the ..."
N38568,health,medical,The common causes of a runny nose and how to stop it,"If you have a runny nose, it's probably caused by either a case of allergic or nonallergic rhinitis. Here's how to stop it."
N54095,finance,finance-real-estate,Amazing castles for sale across the United States,Have you ever noticed that most of the world's castles are scattered across Europe?
N46698,video,viral,Milwaukee bus driver rushes into burning apartment building,Chanaye Brown was honored by the Milwaukee Fire Department with a Community Hero Award and named 'honorary chief of the day.'
N48566,finance,financenews,"Chicago Teachers' Strike: Classes Canceled Again Tuesday, Mayor Lightfoot Says 'Beyond What We Put On The Table, There Is No More Money'",Students are out of school for the third school day in a row and picketing starts at all Chicago Public Schools at 6:30 a.m. Monday.
N46542,weather,weathertopstories,"Forecast calls for unusually high water in Great Lakes, could set new records","October storms over Lakes Michigan, Huron and Superior caused beach erosion, flooding and damage to seawalls and roads."
N38967,finance,finance-real-estate,A parking spot in Hong Kong just sold for almost $1 million,"That works out to just over $7,200 a square foot."
N20244,autos,autosnews,2021 Acura TLX Spy Photos Provide Best Look Yet At The Interior,There's a hint of the RDX inside.
N25499,health,weightloss,"To Lose a Pound You Need to Burn 7,000 Calories, Not 3,500","Wait, what? The most famous equation in dieting is one pound of fat = 3,500 calories. That equation is wrong."
N13321,finance,financenews,How to manage your small business using a classified balance sheet,How to use classified balance sheet
N41840,lifestyle,lifestyleroyals,The Internet Is Banding Together to Support Meghan Markle After She Opened Up About Her Mental Health,#WeLoveYouMeghan is trending on Twitter.
N51755,travel,travelarticle,Sounds of celebration during Puerto Rican Day Parade in Palm Bay,"Sounds of Reggaeton, salsa heard as Puerto Rican Day Parade gets underway in Palm Bay with thousands of attendees"
N656,travel,travelnews,San Antonio's Woolworth Building in Alamo Plaza makes global list of endangered sites,"The 1921 Woolworth Building in Alamo Plaza is on a new list of 25 heritage sites worldwide that are described as threatened, potentially boosting its standing in the often stormy debate over its future. Controversy long has surrounded the state-owned building, which stands on the same spot as the Alamo fort's west wall, scene of some of the heaviest fighting during the famous 1836 battle for Texas independence. Described as a symbol of..."
N25079,weather,weathertopstories,Another inch of snow could fall near Wisconsin border overnight and temperatures could drop to 11 degrees later in week,"The far north and northwestern suburbs by the Wisconsin state line could see as much as another inch of snow between nightfall Tuesday and Wednesday morning, forecasters said, days after most of the snow that fell on Halloween had melted."
N52862,finance,finance-real-estate,The final home designed by Frank Lloyd Wright will go up for auction,"The legendary Norman Lykes house, designed by architect Frank Lloyd Wright, will be sold at auction on Oct. 16. It was the last residence designed by Wright, who also designed the Solomon R. Guggenheim Museum."
N6639,movies,movienews,"Malco, Indie Memphis partner on 'art house' cinema","Indie Memphis to program screen at Studio on the Square full time, in effect creating the city's first 'art house' cinema in decades"
N23915,travel,travelarticle,Flames engulf RV on SR 235 near St. Paris,Crews from three fire departments responded to extinguish a fire that broke out Tuesday afternoon in an RV.
N7000,foodanddrink,foodnews,Proposed Bill Wants All Plant-Based Beef Labeled 'Imitation',"Plus, New York City is likely to ban foie gras, and more news to start your day."
N57941,video,viral,How these politicians handled their boos,Hooray for booing! Trump joins the ranks of politicians getting roundly booed. CNN's Jeanne Moos has the best boos.
N36412,foodanddrink,newstrends,These Sheboygan County restaurants will be open on Thanksgiving | Streetwise,Check to see if your favorite restaurant is on the list.
N13671,travel,travelarticle,"Unmarked Graves Found Beneath Historic New Jersey Church, Scientists Looking For Human Remains","Historians believe they were Chinese immigrants from more than 150 years ago, many of them railroad workers."
N43510,travel,travelnews,"Saluting the troops, Orange County Fire Rescue unveils redesigned engine","Thanking veterans for their service went beyond words with Orange County Fire Rescue's recent decision to transform one of its fire engines into a moving tribute. The first responder agency showed its support Monday for men and women in the U.S. military by wrapping one of its engines from Station 57, near the Orange County Convention Center, in military decor. Engine 57′s new wrap with silhouetted images of those who served in the armed forces..."
N23158,movies,movienews,What took so long to make a movie about Harriet Tubman?,"It seems strange that the new movie ""Harriet,"" opening Friday, is the first and only major film about Harriet Tubman. By now multiple generations have read about the Underground Railroad engineer in school. Tubman, played in the movie by Cynthia Ervio, is part of black history's official pantheon, her name as recognizable as Martin Luther King, Rosa Parks and Malcolm X. So what gives? Kasi Lemmons, who directed the new movie, has a pretty..."
N12090,travel,travelnews,Threatening note found on plane in Atlanta,"Officials stopped incoming flights at Atlanta's Hartsfield-Jackson International Airport for a time early Saturday morning after a threatening note was found onboard a plane bound for Dallas. According to Atlanta Police, the note was found before 7 a.m. onboard American Airlines Flight 2770 from Atlanta to DFW Airport before the flight had left the gate. All passengers onboard the flight were taken off of the plane and rescreened at the gate...."
N31836,tv,tvnews,'Bluff City Law' episode 8 to feature an unexpected guest,"On ""Bluff City Law"" Monday, we finally meet Emerson's mother. She's the woman Elijah Strait had an affair with."
N7672,video,animals,This is the Dramatic 3-Hour Rescue of a Dog Stranded on a Cliff,It took a little more than some tail wagging to get pooch out a sticky situation. Buzz60's Tony Spitz has the details.
N37685,travel,travelarticle,World Series champion Ryan Zimmerman visits Woodford Reserve Distillery,"What's the best way to celebrate a World Series win? Bourbon, of course. Washington Nationals first baseman Ryan Zimmerman and a group of friends spent the weekend in Versailles touring the Woodford Reserve Distillery. Sign up for our Newsletters The group got to make their own personal selection of Woodford Reserve with the help of assistant master distiller Elizabeth McCall. Zimmerman said he plans to gift a bottle to all his teammates. He..."
N59728,weather,weathertopstories,The Latest: Snow causes 888 flight cancelations at O'Hare,Snowfall hitting the Midwest is taking its toll on air travel in Chicago as one plane trying to land at O'Hare International Airport slid off the runway. Chicago's aviation department says more than 440 flights have been canceled at the airport. (Nov. 11)
N28214,tv,tvnews,'Electric' Newburg leads Brighton to first district football title since 2005,"Brighton beat East Kentwood, 48-26, to avenge a playoff loss from last season."
N33758,travel,travelnews,Seal of approval: Aircraft carrier Kennedy gets a new look,"The official seal for the aircraft carrier John F. Kennedy has been unveiled, and at first glance the design is clean and simple. An iconic image of the young president rises larger than life above the ship that will bear his name. The ship's motto, Serve With Courage, runs below. But a closer look reveals attention to detail that is the work of Capt. Todd Marzano, the ship's ..."
N34452,travel,video,The Top 10 Safari Lodges in Africa,"These remote safari lodges, voted best by Travel + Leisure readers, have unparalleled game viewing and superior accommodations. Find your next place to stay in Africa."
N48918,finance,finance-companies,Kroger accepting Visa credit cards again after banning them,"Kroger is now accepting Visa credit cards at all stores, a Kroger spokeswoman told Business Insider on Wednesday."
N44811,video,news,"Chris Matthews: Bill Taylor, George Kent proved Trump tried to extort dirt","On the first day of the impeachment inquiry hearing, Chris says, ""As I was listening to Ambassador Bill Taylor and George Kent today I thought, 'these guys know what they're talking about.'"""
N31970,finance,markets,Rising used-car prices are pushing poor Americans over the edge,Rising old used car prices help push poor Americans over the edge
N57675,lifestyle,lifestylemindandsoul,32 Thanksgiving Quotes That Bring on All the Feels,Or provide excellent Instagram captions.
N28213,finance,finance-real-estate,The 50 cheapest places to buy land in America,"Find out where you can get parcels of land for $10,000 or less."
N58379,tv,tv-celebrity,Teresa Guidice shows off in sexy 'Game of Thrones' Halloween costume,"Days after her husband was released from ICE custody, Teresa Giudice showed off her 'Game of Thrones' costume"
N60175,tv,tvnews,'That's just heartless': Witness to Myles Garrett assault speaks out about attack,"CLEVELAND   A suburban Cleveland man, who witnessed the bizarre assault of Myles Garrett as the Browns star sat in his car at a downtown traffic light, is sharing his story with FOX 8 News. Josh Torres, 20, was sitting in traffic behind Myles Garrett's car and saw a man jump out of his car, approach Garrett's car with his phone out to take a picture, and then punched Garrett in the face. ..."
N59164,foodanddrink,newstrends,4 top spots for soups in Cincinnati,"Hoodline crunched the numbers to find the top soup sources in Cincinnati. Here's a rundown of top businesses in the city, with ratings, photos and more."
N5558,tv,tv-gallery,20 Made-For-TV Movies Featuring Surprising A-List Stars,"These are all the soapy, hilarious, and occasionally excellent made-for-TV movies that famous actors starred in before they made it big."
N58863,lifestyle,shop-holidays,Stick to Your Secret Santa Budget With These Quirky Gifts,"A little bit cheesy, a touch irreverent, and totally inexpensive."
N39546,entertainment,awards,Mega Millions winning numbers for 11/12/2019; jackpot $163 million,"CLEVELAND, Ohio -- Mega Millions selected winning numbers Tuesday night for a jackpot of $163 million. The numbers are 19-30-44-56-65 Mega Ball 24 Megaplier 2x. Wednesday's Powerball jackpot is $60 million, while the Classic Lotto prize is $5.6 million. Tuesday's winning Ohio Lottery numbers are: Pick 3 evening: 376 (midday, 128) Pick 4 evening: 7801 (midday, 7613) Pick 5 evening: 67199 ..."
N62514,lifestyle,lifestylebuzz,What the U.S. Air Force Can Learn From This Piranha-Proof Fish,"The arapaima has evolved scales tough enough to defend against razor-sharp teeth, a great feature for military body armor."
N28343,weather,weathertopstories,A Look At Some Other Years That Saw Extreme Cold In Mid-November,Cold weather records dating back decades were smashed on Tuesday and Wednesday.
N2177,travel,travelarticle,Kentucky State Police offer tips for winter driving,"With low temperatures and wintry precipitation in the forecast, Kentucky State Police are reminding motorists to make sure they're prepared for travel. Police say avoid unnecessary travel in winter weather, but if you do go out, make sure everyone in the vehicle is using safety restraints and the vehicle is ready for slippery roads and frigid temperatures. Drivers can check road conditions here or the state police mobile phone app. Sign up for..."
N35439,foodanddrink,restaurantsandnews,Chick-fil-A Is Testing Three Amazing New Drinks,We're really hoping these get added to the menu nationwide.
N4392,lifestyle,lifestyleroyals,"Adorable pictures of Kate, Meghan, and other royals playing with dogs","Sophie, meet Gilpin. Gilpin, meet Sophie."
N45019,finance,finance-top-stocks,Shares of Beyond Meat plunge as stock sale ban lifted,"Shares of Beyond Meat plunged more than 20% Tuesday as a lockup period for early backers ended, freeing them up to cash in on their investments after results pointed to rising costs at the hugely popular plant-based meat producer."
N15966,video,news,Elijah Cummings lies in state at Capitol,Congressional leaders honored the late Rep. Elijah Cummings as his body lies in state in National Statuary Hall in the US Capitol.
N28363,finance,financenews,Here is the list of companies picked for negotiations to buy JEA,"JEA released a list of the nine companies included in negotiations to buy the utility Monday. The list is as follows: American Public Infrastructure LLC American Water Works Company, Inc. Duke Energy Emera Inc. JEA Public Power Partners: A Consortium of Bernhard Capital Partners, Emera Inc., and Suez IFM Investors PTY LTD Macquarie Infrastructure and Real Assets Inc. (MIRA Inc.) NextEra Energy Respondent A (Respondent did not consent to release..."
N15194,finance,finance-real-estate,Oprah Winfrey bought her next-door neighbor's California ranch for $6.85 million   take a look inside,"In addition to her new ranch, billionaire Oprah Winfrey already owns two properties in the Montecito, California area: She purchased the first, nicknamed the ""Promised Land,"" for $50 million in 2001, and the other, nicknamed ""Seamair Farm,"" for $29 million in 2015."
N54453,travel,travelnews,The most haunted roads in the US and the chilling stories behind them,Here are 10 creepy roads said to be haunted by ghosts and paranormal activity. Drive them if you dare.
N10986,music,music-celebrity,"Nick Lachey Bashes the Most 'Overrated' Boy Band, Says Vanessa Lachey Was an '*NSYNC Groupie'",The former 98 Degrees member also opened up about his one date with Kim Kardashian!
N8663,autos,autosclassics,The Eagle Talon TSi AWD Is an Underappreciated Classic,"It was a turbocharged, parts-bin slice of awesome."
N8399,travel,video,"Could Amazon deliveries, food trucks be coming to national parks?","The federal government is apparently considering new proposals that would give visitors to America's national parks access to such urban comforts as Wi-Fi, food trucks and Amazon deliveries. NBC's Sam Brock reports for TODAY from Yosemite National Park."
N1348,travel,travelarticle,'We were ordinary people': 99-year-old WWII pilot recalls buddies who didn't return,Louisville native John Treitz was just 23 years old in 1943 when he painted his wife's name on his brand new WWII fighter jet.
N62488,music,musicnews,Garth Brooks Stadium Tour is coming to Ford Field,Garth Brooks Stadium Tour is coming to Detroit for his first-ever Ford Field show. This will be his only tour stop in Michigan.
N17456,lifestyle,lifestylebuzz,"Bert Smith, retired University of Baltimore graphic arts teacher and postcard collector, dies","Bert Pendleton Smith, a retired University of Baltimore graphic arts teacher who collected postcards and used them in several books, died of acute myeloid leukemia Oct. 24 at his Staunton, Virginia, home. The former Hampden resident was 76. Born in Pine Bluff, Arkansas, and raised in Dickeyville, he was the son of Bert Page Smith, a Whitman Requardt and Associates mechanical engineer, and his ..."
N25070,lifestyle,shop-apparel,Amazon Shoppers Are Replacing Their Denim With These Ultra Comfy and Flattering Pull-on Jeans,Signature by Levi Strauss & Co Pull On Jeans Are Best-Sellers
N50903,music,music-celebrity,Ariana Grande Reflects On How Much She's ''Learned and Healed'' in the Past Year,"Ariana Grande takes to Twitter to wish ""thank u, next"" a happy birthday and reflect on what it's taught her about herself."
